Time,Ultrasonic_p2_01
0.000,105.000,
0.100,105.000,
0.200,105.000,
0.300,105.400,
0.400,106.000,
0.500,106.000,
0.600,106.000,
0.700,106.000,
0.800,106.000,
0.900,106.000,
1.000,106.000,
1.100,105.400,
1.200,105.400,
1.300,105.400,
1.400,105.300,
1.500,105.400,
1.600,105.400,
1.700,105.400,
1.800,105.400,
1.900,105.300,
2.000,105.300,
2.100,105.400,
2.200,106.000,
2.300,106.000,
2.400,106.000,
2.500,106.000,
2.600,106.000,
2.700,105.400,
2.800,105.300,
2.900,105.400,
3.000,105.400,
3.100,105.400,
3.200,105.400,
3.300,105.300,
3.400,105.400,
3.500,105.300,
3.600,105.400,
3.700,105.400,
3.800,105.300,
3.900,105.400,
4.000,106.000,
4.100,105.400,
4.200,106.000,
4.300,105.300,
4.400,105.400,
4.500,105.300,
4.600,105.400,
4.700,105.400,
4.800,105.400,
4.900,105.400,
5.000,105.400,
5.100,105.400,
5.200,105.300,
5.300,105.300,
5.400,105.300,
5.500,105.400,
5.600,105.000,
5.700,105.000,
5.800,105.000,
5.900,104.600,
6.000,104.600,
6.100,105.000,
6.200,105.000,
6.300,105.400,
6.400,105.000,
6.500,105.000,
6.600,105.300,
6.700,105.000,
6.800,105.300,
6.900,105.000,
7.000,104.600,
7.100,104.600,
7.200,104.600,
7.300,104.600,
7.400,104.600,
7.500,105.000,
7.600,105.000,
7.700,105.000,
7.800,105.400,
7.900,105.400,
8.000,105.400,
8.100,105.000,
8.200,105.400,
8.300,105.400,
8.400,105.300,
8.500,105.400,
8.600,106.000,
8.700,106.000,
8.800,105.300,
8.900,105.300,
9.000,105.400,
9.100,105.400,
9.200,105.300,
9.300,105.000,
9.400,105.000,
9.500,105.000,
9.600,105.200,
9.700,105.200,
9.800,105.000,
9.900,105.200,
10.000,105.000,
10.100,105.400,
10.200,105.000,
10.300,105.400,
10.400,105.000,
10.500,105.200,
10.600,105.300,
10.700,105.400,
10.800,105.200,
10.900,105.000,
11.000,104.600,
11.100,104.600,
11.200,105.400,
11.300,104.600,
11.400,105.000,
11.500,105.000,
11.600,105.000,
11.700,104.600,
11.800,104.600,
11.900,104.600,
12.000,105.000,
12.100,105.400,
12.200,106.000,
12.300,105.400,
12.400,105.000,
12.500,105.000,
12.600,105.200,
12.700,105.300,
12.800,105.400,
12.900,105.000,
13.000,106.000,
13.100,104.600,
13.200,104.600,
13.300,104.200,
13.400,104.600,
13.500,103.800,
13.600,103.800,
13.700,104.600,
13.800,104.600,
13.900,103.800,
14.000,103.800,
14.100,103.800,
14.200,104.600,
14.300,104.600,
14.400,105.000,
14.500,105.000,
14.600,103.200,
14.700,103.800,
14.800,103.800,
14.900,103.800,
15.000,103.600,
15.100,103.600,
15.200,103.600,
15.300,103.200,
15.400,104.600,
15.500,103.600,
15.600,103.600,
15.700,103.200,
15.800,103.600,
15.900,103.600,
16.000,104.400,
16.100,103.200,
16.200,103.600,
16.300,103.600,
16.400,103.600,
16.500,103.700,
16.600,104.500,
16.700,104.000,
16.800,255.000,
16.900,105.400,
17.000,104.500,
17.100,105.200,
17.200,255.000,
17.300,104.400,
17.400,103.700,
17.500,103.600,
17.600,103.600,
17.700,104.500,
17.800,104.400,
17.900,104.500,
18.000,103.700,
18.100,103.700,
18.200,103.700,
18.300,103.700,
18.400,103.700,
18.500,103.700,
18.600,103.700,
18.700,102.900,
18.800,103.600,
18.900,103.700,
19.000,103.700,
19.100,103.700,
19.200,103.600,
19.300,103.600,
19.400,103.200,
19.500,103.600,
19.600,103.600,
19.700,102.800,
19.800,103.200,
19.900,103.600,
20.000,103.200,
20.100,103.200,
20.200,103.600,
20.300,103.200,
20.400,103.200,
20.500,103.600,
20.600,103.600,
20.700,103.200,
20.800,103.600,
20.900,103.700,
21.000,103.600,
21.100,103.700,
21.200,103.600,
21.300,103.200,
21.400,103.200,
21.500,103.600,
21.600,103.700,
21.700,103.600,
21.800,103.700,
21.900,103.600,
22.000,103.600,
22.100,103.700,
22.200,103.600,
22.300,103.600,
22.400,103.700,
22.500,103.700,
22.600,103.700,
22.700,103.600,
22.800,103.600,
22.900,103.600,
23.000,103.600,
23.100,103.600,
23.200,103.600,
23.300,103.700,
23.400,103.600,
23.500,103.600,
23.600,103.200,
23.700,103.600,
23.800,103.600,
23.900,103.700,
24.000,103.600,
24.100,103.700,
24.200,103.200,
24.300,103.700,
24.400,103.600,
24.500,103.700,
24.600,103.600,
24.700,103.600,
24.800,103.600,
24.900,103.000,
25.000,103.600,
25.100,103.200,
25.200,103.600,
25.300,103.600,
25.400,103.700,
25.500,103.600,
25.600,102.900,
25.700,103.600,
25.800,103.000,
25.900,103.600,
26.000,103.200,
26.100,103.600,
26.200,103.600,
26.300,103.600,
26.400,103.200,
26.500,103.700,
26.600,103.600,
26.700,103.600,
26.800,103.600,
26.900,103.600,
27.000,103.600,
27.100,103.600,
27.200,104.400,
27.300,103.600,
27.400,103.200,
27.500,103.700,
27.600,103.600,
27.700,103.600,
27.800,103.600,
27.900,103.700,
28.000,103.600,
28.100,103.600,
28.200,103.200,
28.300,103.600,
28.400,103.600,
28.500,103.600,
28.600,102.300,
28.700,103.600,
28.800,103.700,
28.900,102.300,
29.000,103.700,
29.100,103.600,
29.200,103.700,
29.300,103.700,
